,q_Years of Potential Life Lost Rate,q_% With Access to Exercise Opportunities,q_% Driving Deaths with Alcohol Involvement,q_Chlamydia Rate,q_% With Annual Mammogram,q_% Vaccinated,q_High School Graduation Rate,q_Social Association Rate,q_Violent Crime Rate,q_Average Daily PM2.5,q_Presence of Water Violation,q_% Severe Housing Problems,q_% Long Commute - Drives Alone,q_Child Mortality Rate,q_% Children Uninsured,q_Other Primary Care Provider Ratio,q_Average Reading Performance,q_Suicide Rate (Age-Adjusted),q_Juvenile Arrest Rate,q_% less than 18 years of age,q_% Native Hawaiian/Other Pacific Islander,q_% Female,q_Hypertension Death Rate,q_% workers commuting by public transit,q_% Veterans in Civilian Adult Population,class
2863,0.4974489795918368,0.2987882653061225,0.3596938775510204,0.4888392857142857,0.7962372448979592,0.9046556122448979,0.6731505102040817,0.14540816326530612,0.16741071428571427,0.3926977040816326,0.3235012755102041,0.4225127551020408,0.9996811224489796,0.1956313775510204,0.5366709183673469,0.44834183673469385,0.8166454081632653,0.8249362244897959,0.7955994897959183,0.6479591836734694,0.18431122448979592,0.7586096938775511,0.4175701530612245,0.3845295055821372,0.6651785714285714,1.0
2864,0.7433035714285714,0.3718112244897959,0.901626275510204,0.6977040816326531,0.9116709183673468,0.9937818877551021,0.44674744897959184,0.9716198979591836,0.4036989795918368,0.34518494897959184,0.3235012755102041,0.4005102040816326,0.6029974489795918,0.1956313775510204,0.7142857142857143,0.9411670918367347,0.4540816326530612,0.7566964285714286,0.17346938775510204,0.03220663265306122,0.08705357142857142,0.979591836734694,0.3848852040816326,0.4853269537480064,0.9435586734693876,0.0
2865,0.7385204081632653,0.13105867346938774,0.1401466836734694,0.16214923469387754,0.3153698979591837,0.28348214285714285,0.25063775510204084,0.09056122448979592,0.2853954081632653,0.6095344387755102,0.8168048469387755,0.453125,0.7453762755102041,0.7369260204081632,0.5510204081632653,0.1243622448979592,0.859375,0.7324617346938775,0.7405931122448979,0.14221938775510204,0.3427933673469388,0.1100127551020408,0.46014030612244894,0.3845295055821372,0.4024234693877551,0.0
2866,0.0934311224489796,0.903061224489796,0.8191964285714286,0.3153698979591837,0.2302295918367347,0.8726084183673469,0.8568239795918368,0.1524234693877551,0.2423469387755102,0.5597895408163265,0.3235012755102041,0.2697704081632653,0.9449936224489796,0.3989158163265306,0.3096301020408163,0.32334183673469385,0.9661989795918368,0.3427933673469388,0.5711096938775511,0.9588647959183674,0.71875,0.5679209183673469,0.009247448979591837,0.9618819776714512,0.3335459183673469,0.0
2867,0.4910714285714286,0.1364795918367347,0.9620535714285714,0.3223852040816326,0.7962372448979592,0.9604591836734694,0.7839604591836735,0.3549107142857143,0.4996811224489796,0.3926977040816326,0.3235012755102041,0.36607142857142855,0.9931441326530612,0.4604591836734694,0.7292729591836735,0.7130102040816326,0.796875,0.4084821428571429,0.6457270408163265,0.26052295918367346,0.5794005102040817,0.6138392857142857,0.04751275510204082,0.7749601275917065,0.8698979591836735,0.0
2868,0.7541454081632653,0.36447704081632654,0.8131377551020408,0.7028061224489796,0.3635204081632653,0.9046556122448979,0.12085459183673468,0.6527423469387755,0.4378188775510204,0.4684311224489796,0.3235012755102041,0.6014030612244898,0.8832908163265306,0.1956313775510204,0.7305484693877551,0.3101084183673469,0.8635204081632653,0.8099489795918368,0.9869260204081632,0.13010204081632654,0.8756377551020408,0.07270408163265306,0.6372767857142857,0.7413078149920255,0.8190369897959183,0.0
2869,0.5551658163265306,0.28380102040816324,0.6991390306122449,0.6234056122448979,0.8883928571428571,0.9802295918367347,0.8568239795918368,0.2535076530612245,0.21428571428571427,0.3314732142857143,0.3235012755102041,0.84375,0.7201849489795918,0.1956313775510204,0.7315051020408163,0.5318877551020408,0.3584183673469388,0.8488520408163265,0.7213010204081632,0.2850765306122449,0.2378826530612245,0.8989158163265306,0.12372448979591835,0.8012759170653907,0.3517219387755102,1.0
2870,0.44834183673469385,0.2850765306122449,0.02933673469387755,0.3410395408163265,0.8298788265306123,0.9316007653061223,0.7839604591836735,0.8663903061224489,0.10586734693877553,0.3314732142857143,0.3235012755102041,0.1635841836734694,0.9756058673469388,0.1956313775510204,0.6065051020408163,0.6240433673469388,0.4779974489795918,0.9588647959183674,0.6742665816326531,0.02423469387755102,0.7659438775510204,0.9225127551020408,0.3325892857142857,0.6988835725677831,0.9314413265306124,0.0
2871,0.9151785714285714,0.34375,0.3655931122448979,0.7311862244897959,0.7562181122448979,0.9046556122448979,0.4587053571428572,0.6294642857142857,0.6262755102040817,0.5837053571428571,0.8168048469387755,0.5593112244897959,0.6316964285714286,0.9862882653061223,0.5242346938775511,0.996970663265306,0.5720663265306123,0.6119260204081632,0.9247448979591836,0.1288265306122449,0.6836734693877551,0.8466198979591837,0.6278698979591837,0.3845295055821372,0.7474489795918368,0.0
2872,0.5924744897959183,0.14317602040816327,0.6991390306122449,0.3659119897959184,0.8601721938775511,0.9316007653061223,0.7407525510204082,0.5095663265306123,0.5564413265306123,0.36017219387755106,0.3235012755102041,0.5717474489795918,0.8598533163265306,0.1956313775510204,0.6865433673469388,0.41709183673469385,0.6849489795918368,0.8411989795918368,0.17346938775510204,0.04177295918367347,0.4591836734693878,0.8239795918367347,0.4424426020408163,0.5695374800637959,0.9534438775510204,0.0
